Madrid Top-10 Anomalies Analysis Results
==================================================

File: /home/swolf/asim_shared/preprocessed_data/seizure_only/8hz_30min/downsample_8hz_context_30min/sub-073_run-37_seizure_01_preprocessed.pkl
Analysis time: 1474.3 seconds
Signal length: 29648 samples
Sampling rate: 8 Hz
Seizure regions: 1
m-range: 80 to 800 (step: 80)
Top-K: 10
GPU used: Yes

Results per m-value:
m	Rank	Score	Location	Seizure_Hit
80	1	0.5364	13693	False
80	2	0.4987	13735	False
80	3	0.4864	20861	False
80	4	0.4770	19063	False
80	5	0.4646	18858	False
80	6	0.4312	15865	False
80	7	0.4225	25651	False
80	8	0.4224	19719	False
80	9	0.4195	18659	False
80	10	0.4120	20903	False
160	1	0.5888	29371	False
160	2	0.5691	25618	False
160	3	0.5679	10368	False
160	4	0.5577	13711	False
160	5	0.5504	25420	False
160	6	0.5286	25699	False
160	7	0.5205	24848	False
160	8	0.5095	13628	False
160	9	0.5059	13545	False
160	10	0.5047	27745	False
240	1	0.6141	25652	False
240	2	0.6035	25353	False
240	3	0.5815	13647	False
240	4	0.5804	11758	False
240	5	0.5797	10333	False
240	6	0.5724	13525	False
240	7	0.5628	12197	False
240	8	0.5614	29337	False
240	9	0.5520	27727	False
240	10	0.5452	27531	False
320	1	0.6350	25415	False
320	2	0.6069	10298	False
320	3	0.6040	13523	False
320	4	0.5884	25684	False
320	5	0.5858	11698	False
320	6	0.5725	28146	False
320	7	0.5681	25239	False
320	8	0.5602	12158	False
320	9	0.5578	27699	False
320	10	0.5567	27488	False
400	1	0.6505	25466	False
400	2	0.6242	25726	False
400	3	0.6139	13511	False
400	4	0.6033	25265	False
400	5	0.5813	28114	False
400	6	0.5811	10201	False
400	7	0.5796	27524	False
400	8	0.5750	14866	True
400	9	0.5740	11698	False
400	10	0.5610	29242	False
480	1	0.6492	25650	False
480	2	0.6368	25407	False
480	3	0.6002	13481	False
480	4	0.5983	27513	False
480	5	0.5902	29145	False
480	6	0.5896	28057	False
480	7	0.5856	25125	False
480	8	0.5846	26804	False
480	9	0.5767	24554	False
480	10	0.5747	25918	False
560	1	0.6471	25313	False
560	2	0.6423	25798	False
560	3	0.6095	27494	False
560	4	0.5997	13465	False
560	5	0.5930	29077	False
560	6	0.5920	28004	False
560	7	0.5907	24472	False
560	8	0.5902	25013	False
560	9	0.5873	14813	True
560	10	0.5871	11824	False
640	1	0.6676	25675	False
640	2	0.6641	25273	False
640	3	0.6101	11877	False
640	4	0.6070	10269	False
640	5	0.6050	27464	False
640	6	0.6033	13427	False
640	7	0.6007	24872	False
640	8	0.5984	27953	False
640	9	0.5942	24437	False
640	10	0.5934	14844	True
720	1	0.6769	25504	False
720	2	0.6347	25143	False
720	3	0.6260	11799	False
720	4	0.6120	10271	False
720	5	0.6061	14771	True
720	6	0.6056	15903	False
720	7	0.6020	27451	False
720	8	0.5971	27896	False
720	9	0.5962	13394	False
720	10	0.5937	24416	False
800	1	0.6806	25379	False
800	2	0.6354	10278	False
800	3	0.6252	11712	False
800	4	0.6251	24854	False
800	5	0.6143	27454	False
800	6	0.6141	14729	True
800	7	0.6126	12115	False
800	8	0.6055	15898	False
800	9	0.6001	24387	False
800	10	0.5984	25831	False
