strategy,count,mean_recall_change,mean_far_reduction,mean_anomaly_reduction,mean_final_recall,mean_final_far
time_2s,744,0.0,0.0,74.21,0.916,9.291
time_90s,89,0.005,6.791,99.338,0.345,8.068
time_45s,72,0.014,57.44,99.102,0.849,24.542
time_60s,30,0.009,52.11,99.831,0.798,15.244
time_240s,23,0.001,0.099,97.544,0.046,0.541
time_20s,21,0.0,18.643,97.124,0.841,72.293
time_180s,18,0.028,0.139,96.514,0.128,0.588
time_300s,18,0.0,0.072,97.539,0.098,0.525
time_120s,14,0.031,2.166,98.105,0.322,3.71
time_15s,14,0.0,3.152,99.985,1.0,91.588
