dataset_id,threshold_scale,event_recall,false_alarm_rate_per_hour,event_iou,cluster_event_recall,cluster_event_far_per_hour,cluster_event_iou,clustering_strategy,n_clusters,n_representatives,is_responder_pre,is_responder_post,recall_change,far_reduction,iou_change
1,0.3,1.0,0.0,0.0,1.0,0.0,1.0,time_2s,1.0,1.0,True,True,0.0,0.0,1.0
1,0.35,1.0,0.009383210309020392,0.0,1.0,0.009383210309020392,0.8,time_2s,2.0,2.0,True,True,0.0,0.0,0.8
1,0.4,1.0,0.0,0.0,1.0,0.0,1.0,time_2s,1.0,1.0,True,True,0.0,0.0,1.0
1,0.45,1.0,0.009383210309020392,0.0,1.0,0.009383210309020392,0.8,time_2s,2.0,2.0,True,True,0.0,0.0,0.8
1,0.5,1.0,0.028149630927061176,0.0,1.0,0.028149630927061176,0.5714285714285714,time_2s,4.0,4.0,True,True,0.0,0.0,0.5714285714285714
1,0.55,1.0,1.5013136494432628,0.0,1.0,1.5013136494432628,0.024390243902439025,time_2s,164.0,164.0,True,True,0.0,0.0,0.024390243902439025
1,0.6,1.0,26.713999749781056,0.0,1.0,26.713999749781056,0.0014030164854437039,time_2s,2854.0,2854.0,True,True,0.0,0.0,0.0014030164854437039
1,0.65,1.0,102.49280620542974,0.0,1.0,80.45164518954084,0.00046630916297505244,time_20s,8586.0,8586.0,True,True,0.0,22.041161015888903,0.00046630916297505244
1,0.7,1.0,70.59927436506943,0.0,1.0,17.18065807581634,0.0021798365122615805,time_60s,1835.0,1835.0,True,True,0.0,53.418616289253094,0.0021798365122615805
1,0.75,0.75,8.688852746152884,0.0,0.75,5.611159764794195,0.0049833887043189366,time_120s,601.0,601.0,True,True,0.0,3.0776929813586893,0.0049833887043189366
1,0.8,0.0,0.21581383710746901,0.0,0.0,0.20643062679844865,0.0,time_30s,22.0,22.0,False,False,0.0,0.009383210309020368,0.0
2,0.3,1.0,0.0,0.0,1.0,0.0,1.0,time_2s,1.0,1.0,True,True,0.0,0.0,1.0
2,0.35,1.0,0.01008267795926598,0.0,1.0,0.01008267795926598,0.9375,time_2s,2.0,2.0,True,True,0.0,0.0,0.9375
2,0.4,1.0,0.0,0.0,1.0,0.0,1.0,time_2s,1.0,1.0,True,True,0.0,0.0,1.0
2,0.45,1.0,0.01008267795926598,0.0,1.0,0.01008267795926598,0.9375,time_2s,2.0,2.0,True,True,0.0,0.0,0.9375
2,0.5,1.0,0.01008267795926598,0.0,1.0,0.01008267795926598,0.9375,time_2s,3.0,3.0,True,True,0.0,0.0,0.9375
2,0.55,1.0,0.6452913893930228,0.0,1.0,0.6452913893930228,0.189873417721519,time_2s,74.0,74.0,True,True,0.0,0.0,0.189873417721519
2,0.6,1.0,21.476104053236536,0.0,1.0,21.476104053236536,0.006993006993006993,time_2s,2145.0,2145.0,True,True,0.0,0.0,0.006993006993006993
2,0.65,1.0,96.16858237547892,0.0,1.0,93.24460576729179,0.0016193457843031414,time_15s,9280.0,9280.0,True,True,0.0,2.9239766081871323,0.0016193457843031414
2,0.7,0.9333333333333333,80.7017543859649,0.0,0.9333333333333333,26.426698931236135,0.005311077389984826,time_45s,2647.0,2647.0,True,True,0.0,54.27505545472877,0.005311077389984826
2,0.75,0.8,14.307320024198425,0.0,0.8,7.844323452308933,0.015132408575031526,time_90s,795.0,795.0,True,True,0.0,6.462996571889493,0.015132408575031526
2,0.8,0.06666666666666667,0.43355515224843716,0.0,0.06666666666666667,0.38314176245210724,0.018867924528301886,time_420s,39.0,39.0,False,False,0.0,0.05041338979632992,0.018867924528301886
3,0.3,1.0,0.0,0.0,1.0,0.0,1.0,time_2s,1.0,1.0,True,True,0.0,0.0,1.0
3,0.35,1.0,0.017405430494314224,0.0,1.0,0.017405430494314224,0.3333333333333333,time_2s,3.0,3.0,True,True,0.0,0.0,0.3333333333333333
3,0.4,1.0,0.008702715247157112,0.0,1.0,0.008702715247157112,0.5,time_2s,2.0,2.0,True,True,0.0,0.0,0.5
3,0.45,1.0,0.008702715247157112,0.0,1.0,0.008702715247157112,0.5,time_2s,2.0,2.0,True,True,0.0,0.0,0.5
3,0.5,1.0,0.06091900673009979,0.0,1.0,0.06091900673009979,0.125,time_2s,8.0,8.0,True,True,0.0,0.0,0.125
3,0.55,1.0,1.540380598746809,0.0,1.0,1.5316778834996518,0.005649717514124294,time_10s,177.0,177.0,True,True,0.0,0.008702715247157267,0.005649717514124294
3,0.6,1.0,21.086679043861686,0.0,1.0,21.086679043861686,0.00041254125412541255,time_2s,2426.0,2426.0,True,True,0.0,0.0,0.00041254125412541255
3,0.65,1.0,92.38802506381991,0.0,1.0,92.3706196333256,9.420631182289213e-05,time_5s,10617.0,10617.0,True,True,0.0,0.017405430494306984,9.420631182289213e-05
3,0.7,0.0,80.74379206312369,0.0,0.0,16.082617776746346,0.0,time_60s,1848.0,1848.0,False,False,0.0,64.66117428637735,0.0
3,0.75,0.0,12.218612207008587,0.0,0.0,7.780227430958459,0.0,time_90s,894.0,894.0,False,False,0.0,4.438384776050127,0.0
