parameter,overall_sensitivity,overall_precision,overall_fad,avg_fad,total_correct_predictions,total_seizures,total_false_alarms,total_record_hours,num_subjects
en-csi_100xslope_100xcsi_100_filteredxslope_100,0.16527942925089179,0.12203687445127305,0.07314064608029568,3.02885951317062,139,841,1000,13672.288304675,124
en-modcsi_100_filteredxslope_100xcsi_100xslope_100,0.14982164090368608,0.07381370826010544,0.10964032535485471,4.525197833203855,126,841,1581,14419.87694658,124
en-modcsi_100xslope_100xcsi_100xslope_100,0.1403091557669441,0.06458675424192666,0.12241754212806889,4.875221222425082,118,841,1709,13960.417520979998,124
csi_100_filtered,0.1367419738406659,0.10550458715596331,0.06600549465856961,2.229123380227066,115,841,975,14771.497510070003,124
en-modcsi_100xslope_100xcsi_100_filteredxslope_100,0.13079667063020214,0.06200676437429538,0.12266362238487717,4.753410534836515,110,841,1664,13565.554054639997,124
csi_100xslope_100,0.1272294887039239,0.13080684596577016,0.046951209092208485,2.541093651876913,107,841,711,15143.379984180001,124
csi_100,0.12247324613555291,0.1028971028971029,0.061103380448623394,2.3337157724599398,103,841,898,14696.404575440001,124
en-modcsi_100_filteredxslope_100xcsi_100_filteredxslope_100,0.12247324613555291,0.0682571239231279,0.10186834830754651,3.869113861648802,103,841,1406,13802.128171895,124
csi_100_filteredxslope_100,0.10820451843043995,0.13402061855670103,0.04168996745572684,1.7057908020641932,91,841,588,14104.112713075001,124
csi_50,0.09155766944114149,0.08943089430894309,0.053248068738716944,2.511586578051088,77,841,784,14723.538685450005,124
en-modcsi_100xslope_100xmodcsi_100_filteredxslope_100,0.08085612366230678,0.039603960396039604,0.1137016669351363,4.7911564395147845,68,841,1649,14502.865652274997,124
csi_50xslope_50,0.07847800237812129,0.10628019323671498,0.037438521773586184,2.7344352635428235,66,841,555,14824.30324991,124
csi_50_filtered,0.07253269916765755,0.09384615384615384,0.03937723309050369,1.5733624911872999,61,841,589,14957.881846250002,124
modcsi_100_filteredxslope_100,0.06183115338882283,0.04046692607003891,0.08123469356447556,3.5001340814796875,52,841,1233,15178.2439977,124
csi_50_filteredxslope_50,0.059453032104637336,0.0847457627118644,0.036443924938568954,2.287553410805966,50,841,540,14817.284387185004,124
modcsi_100xslope_100,0.052318668252080855,0.030428769017980636,0.09133172646840194,4.134636329418981,44,841,1402,15350.635033544999,124
modcsi_100_filtered,0.052318668252080855,0.038869257950530034,0.07182736416736822,3.3839295853235383,44,841,1088,15147.430406395,124
modcsi_100,0.041617122473246136,0.023939808481532147,0.09896133106021869,4.6857337963708785,35,841,1427,14419.77371072,124
modcsi_50_filtered,0.03804994054696789,0.03033175355450237,0.06807024912350543,4.203577478162177,32,841,1023,15028.591979205,124
modcsi_50_filteredxslope_50,0.0356718192627824,0.025619128949615714,0.07472085496627147,4.072184027306352,30,841,1141,15270.167887065001,124
modcsi_50,0.03329369797859691,0.02142310635042081,0.08857218052983712,4.9476516466419955,28,841,1279,14440.199985469999,124
modcsi_50xslope_50,0.030915576694411414,0.019461077844311378,0.08880951533598706,4.805398184044291,26,841,1310,14750.671648684998,124
hr_diff_100_filtered,0.027348394768133173,0.014696485623003195,0.10113335919861532,3.9299509562872172,23,841,1542,15247.194518395,124
hr_diff_50_filtered,0.027348394768133173,0.013956310679611651,0.10604661199708856,4.65418092766888,23,841,1625,15323.45040919,124
hr_diff_50,0.02497027348394768,0.01377049180327869,0.1019511810444956,3.9208169605003205,21,841,1504,14752.158676255,124
hr_diff_100,0.0178359096313912,0.009810333551340745,0.10161031799035977,3.7504876641626983,15,841,1514,14900.061627045001,124
